date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:01	165232/165232	---M-Z	200	added ('OK')	text/html	etag:%2228570-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/home-grocery.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-grocery.html	(from )
16:50:02	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jan%202026%2008:49:47%20GMT	https://coderthemes.com/robots.txt		(from )
16:50:02	763/763	---M--	200	added ('OK')	application/json	etag:%222fb-643c7ab39c113%22	https://coderthemes.com/cartzilla-laravel/manifest.json	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/manifest.json	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:03	1781/1781	---M--	200	added ('OK')	image/png	etag:%226f5-643c7ab33a694%22	https://coderthemes.com/cartzilla-laravel/assets/app-icons/icon-32x32.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/app-icons/icon-32x32.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:03	1057/1057	---M--	200	added ('OK')	image/png	etag:%22421-643c7ab33a694%22	https://coderthemes.com/cartzilla-laravel/assets/app-icons/icon-180x180.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/app-icons/icon-180x180.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:03	2449/2449	---M-Z	200	added ('OK')	application/javascript	etag:%22991-643c7ab3684f3-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/js/theme-switcher.js	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/js/theme-switcher.js	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:04	46552/46552	---M--	200	added ('OK')	font/woff2	etag:%22b5d8-643c7ab33a694%22	https://coderthemes.com/cartzilla-laravel/assets/fonts/inter-variable-latin.woff2	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/fonts/inter-variable-latin.woff2	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:04	30616/30616	---M--	200	added ('OK')	font/woff2	etag:%227798-643c7ab33a694%22	https://coderthemes.com/cartzilla-laravel/assets/icons/cartzilla-icons.woff2	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/icons/cartzilla-icons.woff2	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:06	12990/12990	---M-Z	200	added ('OK')	text/css	etag:%2232be-643c7ab33a694-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/icons/cartzilla-icons.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/icons/cartzilla-icons.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:06	18454/18454	---M-Z	200	added ('OK')	text/css	etag:%224816-643c7ab393473-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/vendor/swiper/swiper-bundle.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:07	3269/3269	---M-Z	200	added ('OK')	text/css	etag:%22cc5-643c7ab38f5f3-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/vendor/simplebar/dist/simplebar.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/vendor/simplebar/dist/simplebar.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:07	7756/7756	---M-Z	200	added ('OK')	text/css	etag:%221e4c-643c7ab3730d3-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/vendor/choices.js/public/assets/styles/choices.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/vendor/choices.js/public/assets/styles/choices.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:08	332501/332501	---M-Z	200	added ('OK')	text/css	etag:%22512d5-643c7ab33a694-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/css/theme.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/css/theme.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:08	150576/150576	---M-Z	200	added ('OK')	text/html	etag:%2224c30-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-grocery.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-grocery.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:08	332328/332328	---M-Z	200	added ('OK')	text/css	etag:%2251228-643c7ab33a694-gzip%22	https://coderthemes.com/cartzilla-laravel/assets/css/theme.rtl.min.css	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/css/theme.rtl.min.css	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:09	12866/12866	---M--	200	added ('OK')	image/png	etag:%223242-643c7ab3665b3%22	https://coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/01.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/01.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:09	8846/8846	---M--	200	added ('OK')	image/png	etag:%22228e-643c7ab3665b3%22	https://coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/02.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/02.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:10	11247/11247	---M--	200	added ('OK')	image/png	etag:%222bef-643c7ab3665b3%22	https://coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/03.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/03.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:10	12042/12042	---M--	200	added ('OK')	image/png	etag:%222f0a-643c7ab3665b3%22	https://coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/04.png	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/assets/img/shop/grocery/thumbs/04.png	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:10	110745/110745	---M-Z	200	added ('OK')	text/html	etag:%221b099-6446535f28fa3-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v2-cart.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v2-cart.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:11	111690/111690	---M-Z	200	added ('OK')	text/html	etag:%221b44a-6446535f28fa3-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v2-delivery.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v2-delivery.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:11	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jan%202026%2008:49:56%20GMT	https://coderthemes.com/cartzilla-laravel/.delivery-address	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/.delivery-address	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:11	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jan%202026%2008:49:56%20GMT	https://coderthemes.com/cartzilla-laravel/.pickup-options	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/.pickup-options	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:12	170428/170428	---M-Z	200	added ('OK')	text/html	etag:%22299bc-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-catalog-grocery.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-catalog-grocery.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:12	256127/256127	---M-Z	200	added ('OK')	text/html	etag:%223e87f-6446535f30ca3-gzip%22	https://coderthemes.com/cartzilla-laravel/home-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:12	164168/164168	---M-Z	200	added ('OK')	text/html	etag:%2228148-6446535f30ca3-gzip%22	https://coderthemes.com/cartzilla-laravel/home-fashion-v1.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-fashion-v1.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:12	145425/145425	---M-Z	200	added ('OK')	text/html	etag:%2223811-6446535f30ca3-gzip%22	https://coderthemes.com/cartzilla-laravel/home-fashion-v2.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-fashion-v2.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:13	101344/101344	---M-Z	200	added ('OK')	text/html	etag:%2218be0-6446535f30ca3-gzip%22	https://coderthemes.com/cartzilla-laravel/home-furniture.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-furniture.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:13	97810/97810	---M-Z	200	added ('OK')	text/html	etag:%2217e12-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/home-marketplace.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-marketplace.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:13	74971/74971	---M-Z	200	added ('OK')	text/html	etag:%22124db-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/home-single-store.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/home-single-store.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:15	227950/227950	---M-Z	200	added ('OK')	text/html	etag:%2237a6e-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-categories-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-categories-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:15	273095/273095	---M-Z	200	added ('OK')	text/html	etag:%2242ac7-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-catalog-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-catalog-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:16	254897/254897	---M-Z	200	added ('OK')	text/html	etag:%223e3b1-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-general-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-general-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:16	196402/196402	---M-Z	200	added ('OK')	text/html	etag:%222ff32-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-details-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-details-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:17	163015/163015	---M-Z	200	added ('OK')	text/html	etag:%2227cc7-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-catalog-fashion.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-catalog-fashion.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:17	182565/182565	---M-Z	200	added ('OK')	text/html	etag:%222c925-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-fashion.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-fashion.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:17	120431/120431	---M-Z	200	added ('OK')	text/html	etag:%221d66f-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-catalog-furniture.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-catalog-furniture.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:18	212512/212512	---M-Z	200	added ('OK')	text/html	etag:%2233e20-6446535f33b83-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-reviews-electronics.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-reviews-electronics.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:18	115588/115588	---M-Z	200	added ('OK')	text/html	etag:%221c384-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-furniture.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-furniture.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:18	96980/96980	---M-Z	200	added ('OK')	text/html	etag:%2217ad4-6446535f31c43-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-catalog-marketplace.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-catalog-marketplace.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:18	94443/94443	---M-Z	200	added ('OK')	text/html	etag:%22170eb-6446535f32be3-gzip%22	https://coderthemes.com/cartzilla-laravel/shop-product-marketplace.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/shop-product-marketplace.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:19	60859/60859	---M-Z	200	added ('OK')	text/html	etag:%22edbb-6446535f25123-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-marketplace.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-marketplace.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:19	206064/206064	---M-Z	200	added ('OK')	text/html	etag:%22324f0-6446535f25123-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-cart.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-cart.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:19	165946/165946	---M-Z	200	added ('OK')	text/html	etag:%222883a-6446535f25123-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-delivery-1.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-delivery-1.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:20	189853/189853	---M-Z	200	added ('OK')	text/html	etag:%222e59d-6446535f27063-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-delivery-2.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-delivery-2.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:20	172021/172021	---M-Z	200	added ('OK')	text/html	etag:%2229ff5-6446535f28003-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-shipping.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-shipping.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:20	175614/175614	---M-Z	200	added ('OK')	text/html	etag:%222adfe-6446535f27063-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-payment.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-payment.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:20	168218/168218	---M-Z	200	added ('OK')	text/html	etag:%222911a-6446535f28003-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v1-thankyou.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v1-thankyou.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
16:50:21	109210/109210	---M-Z	200	added ('OK')	text/html	etag:%221aa9a-6446535f28fa3-gzip%22	https://coderthemes.com/cartzilla-laravel/checkout-v2-pickup.html	C:/My%20Web%20Sites/Ecovera/coderthemes.com/cartzilla-laravel/checkout-v2-pickup.html	(from https://coderthemes.com/cartzilla-laravel/home-grocery.html)
